fullName,isRegular
Aaron Reutzel,1
Andy Forsberg,0
Ashton Torgerson,0
Austin McCarl,0
Bill Wagner,0
Brad Sweet,1
Brady Bacon,0
Brenham Crouch,1
Brent Marks,1
Brian Brown,0
Chase Randall,1
Corey Day,0
D.J. Netto,0
Daison Pursley,1
Danny Sams III,1
Daryn Pittman,0
Daylin Perreira,0
Dominic Scelzi,0
Doug Cleator,0
Dustin Freitas,0
Joe Perry,0
Justin Peck,1
Justin Sanders,0
Kaleb Montgomery,0
Kasey Kahne,1
Kyle Larson,0
Mariah Ede,0
Rico Abreu,1
Robbie Price,0
Ryan Timms,0
Spencer Bayston,1
Sterling Cling,0
Sye Lynch,1
Tanner Carrick,0
Tanner Holmes,0
Tanner Thorson,1
Ty Gibbs,0
Tyler Courtney,1